site_id,field_id,field_path,section,value_type,expected_state,expected_value_json,example_value_json,evidence_class,source,suggested_method,match_rule,notes
tacc-stampede3,2,/scheduler_type,scheduler,string,has_value,"""slurm""","""slurm""",configuration,,measurement: command -v sinfo; command -v condor_status,exact_trimmed_lower,Model kept field: Core scheduler compatibility fact.
tacc-stampede3,3,/slurm/version,slurm,string,has_value,"""23.11.11""","""23.11.11""",configuration,,measurement: sinfo --version,exact_trimmed_lower,Model kept field: Version materially affects scheduler compatibility.
tacc-stampede3,4,/slurm/submit_command,slurm,string,has_value,"""sbatch""","""sbatch""",configuration,,measurement: command -v sbatch,exact_trimmed_lower,Model kept field: Actionable submission interface fact.
tacc-stampede3,5,/slurm/default_partition,slurm,string,has_value,"""skx-dev""","""skx-dev""",configuration,,"measurement: sinfo -h -o ""%P""",exact_trimmed_lower,Model kept field: Default execution target affects preflight.
tacc-stampede3,6,/slurm/options/account/syntax,slurm,array,has_value,"[""--account={account}"", ""-A {account}""]","[""--account={account}"", ""-A {account}""]",policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",pattern_any,Model kept field: Actionable scheduler option syntax.
tacc-stampede3,6,/slurm/options/account/required,slurm,boolean,absent,-,null,policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",exact_trimmed_lower,Model kept field: Requiredness materially affects submission preflight.
tacc-stampede3,7,/slurm/options/partition/syntax,slurm,array,has_value,"[""--partition={partition}"", ""-p {partition}""]","[""--partition={partition}"", ""-p {partition}""]",policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",pattern_any,Model kept field: Actionable scheduler option syntax.
tacc-stampede3,7,/slurm/options/partition/required,slurm,boolean,has_value,FALSE,FALSE,policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",exact_trimmed_lower,Model kept field: Requiredness materially affects submission preflight.
tacc-stampede3,8,/slurm/options/nodes/syntax,slurm,array,has_value,"[""--nodes={count}"", ""-N {count}""]","[""--nodes={count}"", ""-N {count}""]",policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",pattern_any,Model kept field: Actionable scheduler option syntax.
tacc-stampede3,8,/slurm/options/nodes/required,slurm,boolean,has_value,TRUE,TRUE,policy,doc,"doc: Stampede3 user guide, Table 9 Common sbatch Options",exact_trimmed_lower,Model kept field: Requiredness materially affects submission preflight.
tacc-stampede3,9,/slurm/options/cpus-per-task/syntax,slurm,array,absent,-,"[""--cpus-per-task={count}""]",policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",pattern_any,Model kept field: Actionable scheduler option syntax.
tacc-stampede3,9,/slurm/options/cpus-per-task/required,slurm,boolean,absent,-,null,policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",exact_trimmed_lower,Model kept field: Requiredness or abstention affects preflight.
tacc-stampede3,10,/slurm/options/time/syntax,slurm,array,has_value,"[""--time={time}"", ""-t {time}""]","[""--time={time}"", ""-t {time}""]",policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",pattern_any,Model kept field: Actionable scheduler option syntax.
tacc-stampede3,10,/slurm/options/time/required,slurm,boolean,has_value,TRUE,TRUE,policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",exact_trimmed_lower,Model kept field: Requiredness materially affects submission preflight.
tacc-stampede3,11,/slurm/options/array/syntax,slurm,array,has_value,"[""--array={tasklist}"", ""-a {tasklist}""]","[""--array={tasklist}"", ""-a {tasklist}""]",policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",pattern_any,Model kept field: Actionable scheduler option syntax.
tacc-stampede3,11,/slurm/options/array/required,slurm,boolean,has_value,FALSE,FALSE,policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",exact_trimmed_lower,Model kept field: Requiredness materially affects submission preflight.
tacc-stampede3,12,/slurm/options/dependency/syntax,slurm,array,has_value,"[""--dependency={dependency}"", ""-d {dependency}""]","[""--dependency={dependency}"", ""-d {dependency}""]",policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",pattern_any,Model kept field: Actionable scheduler option syntax.
tacc-stampede3,12,/slurm/options/dependency/required,slurm,boolean,has_value,FALSE,FALSE,policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",exact_trimmed_lower,Model kept field: Requiredness materially affects submission preflight.
tacc-stampede3,13,/slurm/options/export/syntax,slurm,array,has_value,"[""--export={mode}""]","[""--export={mode}""]",policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",pattern_any,Documented syntax is retained so the profile can warn that this option is discouraged.
tacc-stampede3,13,/slurm/options/export/required,slurm,boolean,has_value,FALSE,FALSE,policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",exact_trimmed_lower,
tacc-stampede3,14,/slurm/options/gres/syntax,slurm,array,has_value,"[""--gres={resource}""]","[""--gres={resource}""]",policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",pattern_any,Documented syntax is retained so preflight can reject this option.
tacc-stampede3,14,/slurm/options/gres/required,slurm,boolean,has_value,FALSE,FALSE,policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",exact_trimmed_lower,
tacc-stampede3,15,/slurm/options/gpus-per-task/syntax,slurm,array,has_value,"[""--gpus-per-task={count}""]","[""--gpus-per-task={count}""]",policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",pattern_any,Documented syntax is retained so preflight can reject this option.
tacc-stampede3,15,/slurm/options/gpus-per-task/required,slurm,boolean,has_value,FALSE,FALSE,policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",exact_trimmed_lower,
tacc-stampede3,16,/slurm/options/job-name/syntax,slurm,array,has_value,"[""--job-name={name}"", ""-J {name}""]","[""--job-name={name}"", ""-J {name}""]",policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",pattern_any,Model kept field: Actionable scheduler option syntax.
