site_id,field_id,field_path,section,value_type,expected_state,expected_value_json,example_value_json,evidence_class,source,suggested_method,match_rule,notes
anvil,1,/scheduler_type,scheduler,string,has_value,"""slurm""","""slurm""",configuration,,measurement: command -v sinfo; command -v condor_status,exact_trimmed_lower,
anvil,2,/slurm/version,slurm,string,has_value,"""25.11.1""","""25.11.1""",configuration,,measurement: sinfo --version,exact_trimmed_lower,
anvil,3,/slurm/submit_command,slurm,string,has_value,"""sbatch""","""sbatch""",configuration,,measurement: command -v sbatch,exact_trimmed_lower,
anvil,4,/slurm/default_partition,slurm,string,has_value,"""shared""","""shared""",configuration,,"measurement: sinfo -h -o ""%P""",exact_trimmed_lower,
anvil,5,/slurm/options/account/syntax,slurm,array,has_value,"[""--account={account}"", ""-A {account}""]","[""--account={account}"", ""-A {account}""]",policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",set,
anvil,5,/slurm/options/account/required,slurm,boolean,has_value,TRUE,TRUE,policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",exact_trimmed_lower,
anvil,6,/slurm/options/partition/syntax,slurm,array,has_value,"[""--partition={partition}"", ""-p {partition}""]","[""--partition={partition}"", ""-p {partition}""]",policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",set,
anvil,6,/slurm/options/partition/required,slurm,boolean,has_value,TRUE,TRUE,policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",exact_trimmed_lower,
anvil,7,/slurm/options/nodes/syntax,slurm,array,has_value,"[""--nodes={count}"", ""-N {count}""]","[""--nodes={count}"", ""-N {count}""]",policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",set,
anvil,7,/slurm/options/nodes/required,slurm,boolean,has_value,FALSE,null,policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",exact_trimmed_lower,Example is null because the documentation does not explicitly establish universal optionality; current profile inferred false.
anvil,8,/slurm/options/cpus-per-task/syntax,slurm,array,has_value,"[""--cpus-per-task={count}""]","[""--cpus-per-task={count}""]",policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",set,
anvil,8,/slurm/options/cpus-per-task/required,slurm,boolean,has_value,FALSE,null,policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",exact_trimmed_lower,Example is null because the documentation does not explicitly establish universal optionality; current profile inferred false.
anvil,9,/slurm/options/time/syntax,slurm,array,has_value,"[""--time={time}"", ""-t {time}""]","[""--time={time}"", ""-t {time}""]",policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",set,
anvil,9,/slurm/options/time/required,slurm,boolean,has_value,FALSE,null,policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",exact_trimmed_lower,Example is null because the documentation does not explicitly establish universal optionality; current profile inferred false.
anvil,10,/slurm/options/ntasks/syntax,slurm,array,has_value,"[""--ntasks={count}"", ""-n {count}""]","[""--ntasks={count}"", ""-n {count}""]",policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",set,
anvil,10,/slurm/options/ntasks/required,slurm,boolean,has_value,FALSE,null,policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",exact_trimmed_lower,Example is null because the documentation does not explicitly establish universal optionality; current profile inferred false.
anvil,11,/slurm/options/mem/syntax,slurm,array,has_value,"[""--mem={size}""]","[""--mem={size}""]",policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",set,
anvil,11,/slurm/options/mem/required,slurm,boolean,has_value,FALSE,null,policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",exact_trimmed_lower,Example is null because the documentation does not explicitly establish universal optionality; current profile inferred false.
