site_id,field_id,field_path,section,value_type,evidence_class,expected_state,expected_value_json,example_value_json,observed_state,observed_value_json,match_rule,outcome,run_id,site,model,mode,rep,analysis_weight,profile_path,measurement_state,measurement_value_json,evidence_sources,is_error
anvil,5,/slurm/options/account/syntax,slurm,array,policy,has_value,"[""--account={account}"", ""-A {account}""]","[""--account={account}"", ""-A {account}""]",has_value,"[""--account={account}"", ""-A {account}""]",pattern_any,correct_value,3fb1bb16-0484-40a7-bee0-1eecb2cbe43d,anvil,gpt-5-mini,bm25,1,1.0,evaluation/results/anvil-gpt-5-mini-bm25-rep1/site-profile.json,missing,<missing>,,False
anvil,6,/slurm/options/partition/syntax,slurm,array,policy,has_value,"[""--partition={partition}"", ""-p {partition}""]","[""--partition={partition}"", ""-p {partition}""]",has_value,"[""--partition={partition}"", ""-p {partition}""]",pattern_any,correct_value,3fb1bb16-0484-40a7-bee0-1eecb2cbe43d,anvil,gpt-5-mini,bm25,1,1.0,evaluation/results/anvil-gpt-5-mini-bm25-rep1/site-profile.json,missing,<missing>,,False
anvil,7,/slurm/options/nodes/syntax,slurm,array,policy,has_value,"[""--nodes={count}"", ""-N {count}""]","[""--nodes={count}"", ""-N {count}""]",has_value,"[""--nodes={count}"", ""-N {count}""]",pattern_any,correct_value,3fb1bb16-0484-40a7-bee0-1eecb2cbe43d,anvil,gpt-5-mini,bm25,1,1.0,evaluation/results/anvil-gpt-5-mini-bm25-rep1/site-profile.json,missing,<missing>,,False
anvil,8,/slurm/options/cpus-per-task/syntax,slurm,array,policy,has_value,"[""--cpus-per-task={count}""]","[""--cpus-per-task={count}""]",has_value,"[""--cpus-per-task={count}""]",pattern_any,correct_value,3fb1bb16-0484-40a7-bee0-1eecb2cbe43d,anvil,gpt-5-mini,bm25,1,1.0,evaluation/results/anvil-gpt-5-mini-bm25-rep1/site-profile.json,missing,<missing>,,False
anvil,9,/slurm/options/time/syntax,slurm,array,policy,has_value,"[""--time={time}"", ""-t {time}""]","[""--time={time}"", ""-t {time}""]",has_value,"[""--time={time}"", ""-t {time}""]",pattern_any,correct_value,3fb1bb16-0484-40a7-bee0-1eecb2cbe43d,anvil,gpt-5-mini,bm25,1,1.0,evaluation/results/anvil-gpt-5-mini-bm25-rep1/site-profile.json,missing,<missing>,,False
anvil,24,/storage/home/compute_visible,storage,boolean,capability,has_value,TRUE,TRUE,has_value,true,exact_trimmed_lower,correct_value,3fb1bb16-0484-40a7-bee0-1eecb2cbe43d,anvil,gpt-5-mini,bm25,1,1.0,evaluation/results/anvil-gpt-5-mini-bm25-rep1/site-profile.json,missing,<missing>,pilot,False
anvil,24,/storage/home/compute_readable,storage,boolean,capability,has_value,TRUE,TRUE,has_value,true,exact_trimmed_lower,correct_value,3fb1bb16-0484-40a7-bee0-1eecb2cbe43d,anvil,gpt-5-mini,bm25,1,1.0,evaluation/results/anvil-gpt-5-mini-bm25-rep1/site-profile.json,missing,<missing>,pilot,False
anvil,24,/storage/home/compute_writable,storage,boolean,capability,has_value,TRUE,TRUE,has_value,true,exact_trimmed_lower,correct_value,3fb1bb16-0484-40a7-bee0-1eecb2cbe43d,anvil,gpt-5-mini,bm25,1,1.0,evaluation/results/anvil-gpt-5-mini-bm25-rep1/site-profile.json,missing,<missing>,pilot,False
anvil,25,/storage/project/compute_visible,storage,boolean,capability,has_value,TRUE,TRUE,has_value,true,exact_trimmed_lower,correct_value,3fb1bb16-0484-40a7-bee0-1eecb2cbe43d,anvil,gpt-5-mini,bm25,1,1.0,evaluation/results/anvil-gpt-5-mini-bm25-rep1/site-profile.json,missing,<missing>,pilot,False
anvil,25,/storage/project/compute_readable,storage,boolean,capability,has_value,TRUE,TRUE,has_value,true,exact_trimmed_lower,correct_value,3fb1bb16-0484-40a7-bee0-1eecb2cbe43d,anvil,gpt-5-mini,bm25,1,1.0,evaluation/results/anvil-gpt-5-mini-bm25-rep1/site-profile.json,missing,<missing>,pilot,False
