site_id,field_id,field_path,section,value_type,expected_state,expected_value_json,example_value_json,evidence_class,source,suggested_method,match_rule,notes
tacc-stampede3,1,/aliases,site,array,,,[],identity,,measurement: user-provided short site name plus hostname -f,set,Model kept field: Site identity aliases support retrieval and resolution evaluation.
tacc-stampede3,2,/scheduler_type,scheduler,string,,,"""slurm""",configuration,,measurement: command -v sinfo; command -v condor_status,exact_trimmed_lower,Model kept field: Core scheduler compatibility fact.
tacc-stampede3,3,/slurm/version,slurm,string,,,"""23.11.11""",configuration,,measurement: sinfo --version,exact_trimmed_lower,Model kept field: Version materially affects scheduler compatibility.
tacc-stampede3,4,/slurm/submit_command,slurm,string,,,"""sbatch""",configuration,,measurement: command -v sbatch,exact_trimmed_lower,Model kept field: Actionable submission interface fact.
tacc-stampede3,5,/slurm/default_partition,slurm,string,,,"""skx-dev""",configuration,,"measurement: sinfo -h -o ""%P""",exact_trimmed_lower,Model kept field: Default execution target affects preflight.
tacc-stampede3,6,/slurm/options/account/syntax,slurm,array,,,"[""-A projectid""]",policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",set,Model kept field: Actionable scheduler option syntax.
tacc-stampede3,6,/slurm/options/account/required,slurm,boolean,,,null,policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",exact_trimmed_lower,Model kept field: Requiredness materially affects submission preflight.
tacc-stampede3,7,/slurm/options/partition/syntax,slurm,array,,,"[""-p queue_name""]",policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",set,Model kept field: Actionable scheduler option syntax.
tacc-stampede3,7,/slurm/options/partition/required,slurm,boolean,,,false,policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",exact_trimmed_lower,Model kept field: Requiredness materially affects submission preflight.
tacc-stampede3,8,/slurm/options/nodes/syntax,slurm,array,,,"[""-N total_nodes""]",policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",set,Model kept field: Actionable scheduler option syntax.
tacc-stampede3,8,/slurm/options/nodes/required,slurm,boolean,,,true,policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",exact_trimmed_lower,Model kept field: Requiredness materially affects submission preflight.
tacc-stampede3,9,/slurm/options/cpus-per-task/syntax,slurm,array,,,"[""--cpus-per-task={count}""]",policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",set,Model kept field: Actionable scheduler option syntax.
tacc-stampede3,9,/slurm/options/cpus-per-task/required,slurm,boolean,,,null,policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",exact_trimmed_lower,Model kept field: Requiredness or abstention affects preflight.
tacc-stampede3,10,/slurm/options/time/syntax,slurm,array,,,"[""-t hh:mm:ss""]",policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",set,Model kept field: Actionable scheduler option syntax.
tacc-stampede3,10,/slurm/options/time/required,slurm,boolean,,,true,policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",exact_trimmed_lower,Model kept field: Requiredness materially affects submission preflight.
tacc-stampede3,11,/slurm/options/array/syntax,slurm,array,,,"[""-a or --array = tasklist""]",policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",set,Model kept field: Actionable scheduler option syntax.
tacc-stampede3,11,/slurm/options/array/required,slurm,boolean,,,false,policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",exact_trimmed_lower,Model kept field: Requiredness materially affects submission preflight.
tacc-stampede3,12,/slurm/options/dependency/syntax,slurm,array,,,"[""-d= afterok: jobid""]",policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",set,Model kept field: Actionable scheduler option syntax.
tacc-stampede3,12,/slurm/options/dependency/required,slurm,boolean,,,false,policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",exact_trimmed_lower,Model kept field: Requiredness materially affects submission preflight.
tacc-stampede3,13,/slurm/options/export/syntax,slurm,array,,,"[""-export=""]",policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",set,Model kept field: Actionable scheduler option syntax.
tacc-stampede3,13,/slurm/options/export/required,slurm,boolean,,,false,policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",exact_trimmed_lower,Model kept field: Requiredness materially affects submission preflight.
tacc-stampede3,14,/slurm/options/gres/syntax,slurm,array,,,"[""--gres""]",policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",set,Model kept field: Actionable scheduler option syntax.
tacc-stampede3,14,/slurm/options/gres/required,slurm,boolean,,,false,policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",exact_trimmed_lower,Model kept field: Requiredness materially affects submission preflight.
tacc-stampede3,15,/slurm/options/gpus-per-task/syntax,slurm,array,,,"[""--gpus-per-task""]",policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",set,Model kept field: Actionable scheduler option syntax.
tacc-stampede3,15,/slurm/options/gpus-per-task/required,slurm,boolean,,,false,policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",exact_trimmed_lower,Model kept field: Requiredness materially affects submission preflight.
tacc-stampede3,16,/slurm/options/job-name/syntax,slurm,array,,,"[""-J job_name""]",policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",set,Model kept field: Actionable scheduler option syntax.
tacc-stampede3,16,/slurm/options/job-name/required,slurm,boolean,,,false,policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",exact_trimmed_lower,Model kept field: Requiredness materially affects submission preflight.
tacc-stampede3,17,/slurm/options/ntasks/syntax,slurm,array,,,"[""-n total_tasks""]",policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",set,Model kept field: Actionable scheduler option syntax.
tacc-stampede3,17,/slurm/options/ntasks/required,slurm,boolean,,,null,policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",exact_trimmed_lower,Model kept field: Requiredness or abstention affects preflight.
tacc-stampede3,18,/slurm/options/ntasks-per-node/syntax,slurm,array,,,"[""-ntasks-per-node tasks_per_node"",""-tasks-per-node tasks_per_node""]",policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",set,Model kept field: Actionable scheduler option syntax.
tacc-stampede3,18,/slurm/options/ntasks-per-node/required,slurm,boolean,,,null,policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",exact_trimmed_lower,Model kept field: Requiredness or abstention affects preflight.
tacc-stampede3,19,/slurm/options/mail-type/syntax,slurm,array,,,"[""-mail-type= begin, end, fail, or all""]",policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",set,Model kept field: Actionable scheduler option syntax.
tacc-stampede3,19,/slurm/options/mail-type/required,slurm,boolean,,,false,policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",exact_trimmed_lower,Model kept field: Requiredness materially affects submission preflight.
tacc-stampede3,20,/slurm/options/mail-user/syntax,slurm,array,,,"[""-mail-user= email_address""]",policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",set,Model kept field: Actionable scheduler option syntax.
tacc-stampede3,20,/slurm/options/mail-user/required,slurm,boolean,,,false,policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",exact_trimmed_lower,Model kept field: Requiredness materially affects submission preflight.
tacc-stampede3,21,/slurm/options/output/syntax,slurm,array,,,"[""-o output_file""]",policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",set,Model kept field: Actionable scheduler option syntax.
tacc-stampede3,21,/slurm/options/output/required,slurm,boolean,,,false,policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",exact_trimmed_lower,Model kept field: Requiredness materially affects submission preflight.
tacc-stampede3,22,/slurm/options/error/syntax,slurm,array,,,"[""-e error_file""]",policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",set,Model kept field: Actionable scheduler option syntax.
tacc-stampede3,22,/slurm/options/error/required,slurm,boolean,,,false,policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",exact_trimmed_lower,Model kept field: Requiredness materially affects submission preflight.
tacc-stampede3,23,/slurm/options/mem/syntax,slurm,array,,,"[""-mem""]",policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",set,Model kept field: Actionable scheduler option syntax.
tacc-stampede3,23,/slurm/options/mem/required,slurm,boolean,,,false,policy,,"doc: Stampede3 user guide, Table 9 Common sbatch Options",exact_trimmed_lower,Model kept field: Requiredness materially affects submission preflight.
tacc-stampede3,24,/slurm/unmapped_options,slurm,array,,,[],policy,,"doc: Stampede3 user guide, unknown required or prohibited directives",set,Model kept field: Captures unsupported or unmodeled submission interface.
tacc-stampede3,25,/slurm/partitions/skx-dev/maximum_walltime_seconds,slurm,integer,,,7200,policy,,"doc: Stampede3 user guide, queue limits; compare sinfo -h -o ""%P|%l""",numeric_exact,Model kept field: Core job-limit compatibility fact.
