site_id,field_id,field_path,section,value_type,evidence_class,expected_state,expected_value_json,example_value_json,observed_state,observed_value_json,match_rule,outcome
tacc-stampede3,2,/scheduler_type,scheduler,string,configuration,has_value,"""slurm""","""slurm""",has_value,"""slurm""",exact_trimmed_lower,correct_value
tacc-stampede3,3,/slurm/version,slurm,string,configuration,has_value,"""23.11.11""","""23.11.11""",has_value,"""23.11.11""",exact_trimmed_lower,correct_value
tacc-stampede3,4,/slurm/submit_command,slurm,string,configuration,has_value,"""sbatch""","""sbatch""",has_value,"""sbatch""",exact_trimmed_lower,correct_value
tacc-stampede3,5,/slurm/default_partition,slurm,string,configuration,has_value,"""skx-dev""","""skx-dev""",has_value,"""skx-dev""",exact_trimmed_lower,correct_value
tacc-stampede3,6,/slurm/options/account/syntax,slurm,array,policy,has_value,"[""--account={account}"", ""-A {account}""]","[""--account={account}"", ""-A {account}""]",has_value,"[""--account={account}"", ""-A {account}""]",set,correct_value
tacc-stampede3,6,/slurm/options/account/required,slurm,boolean,policy,absent,-,null,empty,null,exact_trimmed_lower,correct_abstention
tacc-stampede3,7,/slurm/options/partition/syntax,slurm,array,policy,has_value,"[""--partition={partition}"", ""-p {partition}""]","[""--partition={partition}"", ""-p {partition}""]",has_value,"[""--partition={partition}"", ""-p {partition}""]",set,correct_value
tacc-stampede3,7,/slurm/options/partition/required,slurm,boolean,policy,has_value,FALSE,FALSE,has_value,false,exact_trimmed_lower,correct_value
tacc-stampede3,8,/slurm/options/nodes/syntax,slurm,array,policy,has_value,"[""--nodes={count}"", ""-N {count}""]","[""--nodes={count}"", ""-N {count}""]",has_value,"[""--nodes={count}"", ""-N {count}""]",set,correct_value
tacc-stampede3,8,/slurm/options/nodes/required,slurm,boolean,policy,has_value,TRUE,TRUE,has_value,true,exact_trimmed_lower,correct_value
tacc-stampede3,9,/slurm/options/cpus-per-task/syntax,slurm,array,policy,absent,-,"[""--cpus-per-task={count}""]",has_value,"[""--cpus-per-task={count}""]",set,unsupported_value
tacc-stampede3,9,/slurm/options/cpus-per-task/required,slurm,boolean,policy,absent,-,null,empty,null,exact_trimmed_lower,correct_abstention
tacc-stampede3,10,/slurm/options/time/syntax,slurm,array,policy,has_value,"[""--time={time}"", ""-t {time}""]","[""--time={time}"", ""-t {time}""]",has_value,"[""--time={time}"", ""-t {time}""]",set,correct_value
tacc-stampede3,10,/slurm/options/time/required,slurm,boolean,policy,has_value,TRUE,TRUE,has_value,true,exact_trimmed_lower,correct_value
tacc-stampede3,11,/slurm/options/array/syntax,slurm,array,policy,has_value,"[""--array={tasklist}"", ""-a {tasklist}""]","[""--array={tasklist}"", ""-a {tasklist}""]",has_value,"[""--array={tasklist}"", ""-a {tasklist}""]",set,correct_value
