site_id,field_id,field_path,section,value_type,evidence_class,expected_state,expected_value_json,example_value_json,observed_state,observed_value_json,match_rule,outcome
anvil,1,/scheduler_type,scheduler,string,configuration,has_value,"""slurm""","""slurm""",has_value,"""slurm""",exact_trimmed_lower,correct_value
anvil,2,/slurm/version,slurm,string,configuration,has_value,"""25.11.1""","""25.11.1""",has_value,"""25.11.1""",exact_trimmed_lower,correct_value
anvil,3,/slurm/submit_command,slurm,string,configuration,has_value,"""sbatch""","""sbatch""",has_value,"""sbatch""",exact_trimmed_lower,correct_value
anvil,4,/slurm/default_partition,slurm,string,configuration,has_value,"""shared""","""shared""",has_value,"""shared""",exact_trimmed_lower,correct_value
anvil,5,/slurm/options/account/syntax,slurm,array,policy,has_value,"[""--account={account}"", ""-A {account}""]","[""--account={account}"", ""-A {account}""]",has_value,"[""--account={account}"", ""-A {account}""]",set,correct_value
anvil,5,/slurm/options/account/required,slurm,boolean,policy,has_value,TRUE,TRUE,has_value,true,exact_trimmed_lower,correct_value
anvil,6,/slurm/options/partition/syntax,slurm,array,policy,has_value,"[""--partition={partition}"", ""-p {partition}""]","[""--partition={partition}"", ""-p {partition}""]",has_value,"[""--partition={partition}"", ""-p {partition}""]",set,correct_value
anvil,6,/slurm/options/partition/required,slurm,boolean,policy,has_value,TRUE,TRUE,has_value,true,exact_trimmed_lower,correct_value
anvil,7,/slurm/options/nodes/syntax,slurm,array,policy,has_value,"[""--nodes={count}"", ""-N {count}""]","[""--nodes={count}"", ""-N {count}""]",has_value,"[""--nodes={count}"", ""-N {count}""]",set,correct_value
anvil,7,/slurm/options/nodes/required,slurm,boolean,policy,has_value,FALSE,null,has_value,false,exact_trimmed_lower,correct_value
anvil,8,/slurm/options/cpus-per-task/syntax,slurm,array,policy,has_value,"[""--cpus-per-task={count}""]","[""--cpus-per-task={count}""]",has_value,"[""--cpus-per-task={count}""]",set,correct_value
anvil,8,/slurm/options/cpus-per-task/required,slurm,boolean,policy,has_value,FALSE,null,has_value,false,exact_trimmed_lower,correct_value
anvil,9,/slurm/options/time/syntax,slurm,array,policy,has_value,"[""--time={time}"", ""-t {time}""]","[""--time={time}"", ""-t {time}""]",has_value,"[""--time={time}"", ""-t {time}""]",set,correct_value
anvil,9,/slurm/options/time/required,slurm,boolean,policy,has_value,FALSE,null,has_value,false,exact_trimmed_lower,correct_value
anvil,10,/slurm/options/ntasks/syntax,slurm,array,policy,has_value,"[""--ntasks={count}"", ""-n {count}""]","[""--ntasks={count}"", ""-n {count}""]",has_value,"[""--ntasks={count}"", ""-n {count}""]",set,correct_value
anvil,10,/slurm/options/ntasks/required,slurm,boolean,policy,has_value,FALSE,null,has_value,false,exact_trimmed_lower,correct_value
anvil,11,/slurm/options/mem/syntax,slurm,array,policy,has_value,"[""--mem={size}""]","[""--mem={size}""]",has_value,"[""--mem={size}""]",set,correct_value
anvil,11,/slurm/options/mem/required,slurm,boolean,policy,has_value,FALSE,null,has_value,false,exact_trimmed_lower,correct_value
anvil,12,/slurm/options/job-name/syntax,slurm,array,policy,has_value,"[""--job-name={name}"", ""-J {name}""]","[""--job-name={name}"", ""-J {name}""]",has_value,"[""--job-name={name}"", ""-J {name}""]",set,correct_value
anvil,12,/slurm/options/job-name/required,slurm,boolean,policy,has_value,FALSE,null,has_value,false,exact_trimmed_lower,correct_value
anvil,13,/slurm/partitions/wholenode/maximum_walltime_seconds,slurm,integer,policy,has_value,345600,-1,has_value,345600,numeric_exact,correct_value
anvil,13,/slurm/partitions/wholenode/maximum_nodes_per_job,slurm,integer,policy,has_value,16,16,has_value,16,numeric_exact,correct_value
anvil,13,/slurm/partitions/wholenode/shared_nodes,slurm,boolean,policy,has_value,FALSE,FALSE,has_value,false,exact_trimmed_lower,correct_value
anvil,13,/slurm/partitions/wholenode/node_count,slurm,integer,configuration,has_value,750,750,has_value,750,numeric_exact,correct_value
anvil,13,/slurm/partitions/wholenode/cpus_per_node,slurm,integer,configuration,has_value,128,128,has_value,128,numeric_exact,correct_value
anvil,13,/slurm/partitions/wholenode/memory_mib_per_node,slurm,integer,configuration,has_value,257400,257400,has_value,257400,numeric_exact,correct_value
anvil,13,/slurm/partitions/wholenode/gpu_count_per_node,slurm,integer,configuration,absent,-,null,empty,null,numeric_exact,correct_abstention
anvil,13,/slurm/partitions/wholenode/gpu_models,slurm,array,configuration,absent,-,[],empty,[],set,correct_abstention
anvil,14,/slurm/partitions/standard/maximum_walltime_seconds,slurm,integer,policy,absent,-,-1,has_value,-1,numeric_exact,unsupported_value
anvil,14,/slurm/partitions/standard/maximum_nodes_per_job,slurm,integer,policy,absent,-,null,empty,null,numeric_exact,correct_abstention
anvil,14,/slurm/partitions/standard/shared_nodes,slurm,boolean,policy,absent,-,null,empty,null,exact_trimmed_lower,correct_abstention
anvil,14,/slurm/partitions/standard/node_count,slurm,integer,configuration,has_value,750,750,has_value,750,numeric_exact,correct_value
anvil,14,/slurm/partitions/standard/cpus_per_node,slurm,integer,configuration,has_value,128,128,has_value,128,numeric_exact,correct_value
anvil,14,/slurm/partitions/standard/memory_mib_per_node,slurm,integer,configuration,has_value,257400,257400,has_value,257400,numeric_exact,correct_value
anvil,14,/slurm/partitions/standard/gpu_count_per_node,slurm,integer,configuration,absent,-,null,empty,null,numeric_exact,correct_abstention
anvil,14,/slurm/partitions/standard/gpu_models,slurm,array,configuration,absent,-,[],empty,[],set,correct_abstention
anvil,15,/slurm/partitions/shared/maximum_walltime_seconds,slurm,integer,policy,has_value,345600,-1,has_value,345600,numeric_exact,correct_value
anvil,15,/slurm/partitions/shared/maximum_nodes_per_job,slurm,integer,policy,has_value,1,1,has_value,1,numeric_exact,correct_value
anvil,15,/slurm/partitions/shared/shared_nodes,slurm,boolean,policy,has_value,TRUE,null,empty,null,exact_trimmed_lower,false_abstention
anvil,15,/slurm/partitions/shared/node_count,slurm,integer,configuration,has_value,250,250,has_value,250,numeric_exact,correct_value
anvil,15,/slurm/partitions/shared/cpus_per_node,slurm,integer,configuration,has_value,128,128,has_value,128,numeric_exact,correct_value
anvil,15,/slurm/partitions/shared/memory_mib_per_node,slurm,integer,configuration,has_value,257400,257400,has_value,257400,numeric_exact,correct_value
anvil,15,/slurm/partitions/shared/gpu_count_per_node,slurm,integer,configuration,absent,-,null,empty,null,numeric_exact,correct_abstention
anvil,15,/slurm/partitions/shared/gpu_models,slurm,array,configuration,absent,-,[],empty,[],set,correct_abstention
anvil,16,/slurm/partitions/wide/maximum_walltime_seconds,slurm,integer,policy,has_value,43200,-1,has_value,43200,numeric_exact,correct_value
anvil,16,/slurm/partitions/wide/maximum_nodes_per_job,slurm,integer,policy,has_value,56,56,has_value,56,numeric_exact,correct_value
anvil,16,/slurm/partitions/wide/shared_nodes,slurm,boolean,policy,has_value,FALSE,FALSE,has_value,false,exact_trimmed_lower,correct_value
anvil,16,/slurm/partitions/wide/node_count,slurm,integer,configuration,has_value,746,746,has_value,746,numeric_exact,correct_value
anvil,16,/slurm/partitions/wide/cpus_per_node,slurm,integer,configuration,has_value,128,128,has_value,128,numeric_exact,correct_value
anvil,16,/slurm/partitions/wide/memory_mib_per_node,slurm,integer,configuration,has_value,257400,257400,has_value,257400,numeric_exact,correct_value
anvil,16,/slurm/partitions/wide/gpu_count_per_node,slurm,integer,configuration,absent,-,null,empty,null,numeric_exact,correct_abstention
anvil,16,/slurm/partitions/wide/gpu_models,slurm,array,configuration,absent,-,[],empty,[],set,correct_abstention
anvil,17,/slurm/partitions/highmem/maximum_walltime_seconds,slurm,integer,policy,has_value,172800,-1,has_value,172800,numeric_exact,correct_value
anvil,17,/slurm/partitions/highmem/maximum_nodes_per_job,slurm,integer,policy,has_value,1,1,has_value,1,numeric_exact,correct_value
anvil,17,/slurm/partitions/highmem/shared_nodes,slurm,boolean,policy,has_value,TRUE,null,empty,null,exact_trimmed_lower,false_abstention
anvil,17,/slurm/partitions/highmem/node_count,slurm,integer,configuration,has_value,32,32,has_value,32,numeric_exact,correct_value
anvil,17,/slurm/partitions/highmem/cpus_per_node,slurm,integer,configuration,has_value,128,128,has_value,128,numeric_exact,correct_value
anvil,17,/slurm/partitions/highmem/memory_mib_per_node,slurm,integer,configuration,has_value,1031400,1031400,has_value,1031400,numeric_exact,correct_value
anvil,17,/slurm/partitions/highmem/gpu_count_per_node,slurm,integer,configuration,absent,-,null,empty,null,numeric_exact,correct_abstention
anvil,17,/slurm/partitions/highmem/gpu_models,slurm,array,configuration,absent,-,[],empty,[],set,correct_abstention
anvil,18,/slurm/partitions/debug/maximum_walltime_seconds,slurm,integer,policy,has_value,7200,-1,has_value,7200,numeric_exact,correct_value
anvil,18,/slurm/partitions/debug/maximum_nodes_per_job,slurm,integer,policy,has_value,2,2,has_value,2,numeric_exact,correct_value
anvil,18,/slurm/partitions/debug/shared_nodes,slurm,boolean,policy,absent,-,null,empty,null,exact_trimmed_lower,correct_abstention
anvil,18,/slurm/partitions/debug/node_count,slurm,integer,configuration,has_value,17,17,has_value,17,numeric_exact,correct_value
anvil,18,/slurm/partitions/debug/cpus_per_node,slurm,integer,configuration,has_value,128,128,has_value,128,numeric_exact,correct_value
anvil,18,/slurm/partitions/debug/memory_mib_per_node,slurm,integer,configuration,has_value,257400,257400,has_value,257400,numeric_exact,correct_value
anvil,18,/slurm/partitions/debug/gpu_count_per_node,slurm,integer,configuration,absent,-,null,empty,null,numeric_exact,correct_abstention
anvil,18,/slurm/partitions/debug/gpu_models,slurm,array,configuration,absent,-,[],empty,[],set,correct_abstention
anvil,19,/slurm/partitions/gpu/maximum_walltime_seconds,slurm,integer,policy,has_value,172800,-1,has_value,172800,numeric_exact,correct_value
anvil,19,/slurm/partitions/gpu/maximum_nodes_per_job,slurm,integer,policy,absent,-,null,empty,null,numeric_exact,correct_abstention
anvil,19,/slurm/partitions/gpu/shared_nodes,slurm,boolean,policy,has_value,TRUE,TRUE,empty,null,exact_trimmed_lower,false_abstention
anvil,19,/slurm/partitions/gpu/node_count,slurm,integer,configuration,has_value,16,16,has_value,16,numeric_exact,correct_value
anvil,19,/slurm/partitions/gpu/cpus_per_node,slurm,integer,configuration,has_value,128,128,has_value,128,numeric_exact,correct_value
anvil,19,/slurm/partitions/gpu/memory_mib_per_node,slurm,integer,configuration,has_value,515400,515400,has_value,515400,numeric_exact,correct_value
anvil,19,/slurm/partitions/gpu/gpu_count_per_node,slurm,integer,configuration,has_value,4,4,has_value,4,numeric_exact,correct_value
anvil,19,/slurm/partitions/gpu/gpu_models,slurm,array,configuration,has_value,"[""NVIDIA A100""]","[""NVIDIA A100""]",empty,[],set,false_abstention
anvil,20,/slurm/partitions/ai/maximum_walltime_seconds,slurm,integer,policy,has_value,172800,-1,has_value,172800,numeric_exact,correct_value
anvil,20,/slurm/partitions/ai/maximum_nodes_per_job,slurm,integer,policy,absent,-,null,empty,null,numeric_exact,correct_abstention
anvil,20,/slurm/partitions/ai/shared_nodes,slurm,boolean,policy,has_value,TRUE,TRUE,empty,null,exact_trimmed_lower,false_abstention
anvil,20,/slurm/partitions/ai/node_count,slurm,integer,configuration,has_value,21,21,has_value,21,numeric_exact,correct_value
anvil,20,/slurm/partitions/ai/cpus_per_node,slurm,integer,configuration,has_value,96,96,has_value,96,numeric_exact,correct_value
